"id"|"hy_pressures"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
"30131"|"350"
"30131"|"700"
