"id"|"hy_standards"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
"30131"|"J2601"
