avgMpg,cityPercent,highwayPercent,maxMpg,minMpg,recordCount,vehicleId
31.002087683,55,45,31,31,1,47940
96.635498762,63,37,97,97,1,48315
39.5,0,100,40,40,1,48166
28.6,60,40,29,29,1,47743
26.491023225,32,68,26,26,1,48116
13.177985793,-1,-1,13,13,1,48629
28.2,100,0,28,28,1,48015
107.4346875,45,55,107,107,1,48697
17.313677619,-1,-1,17,17,1,48210
31.682365021,49,51,32,31,2,47721
28.324519199,15,85,28,28,1,47781
72.42655814,35,65,72,72,1,49077
40.123163996,59,41,40,40,1,48873
51.316984559,75,25,51,51,1,48503
23.197409292,90,10,23,23,1,47782
38.671814272,15,85,39,39,1,47950
21.115045243,50,50,21,21,1,48254
22.976885539,30,70,23,23,1,47754
42.500018861,58,42,51,39,3,47957
30.043603355,41,59,30,30,1,47956
30.7,100,0,31,31,1,48246
24.728456832,37,63,25,25,1,48247
43.5,10,90,44,44,1,48023
22.39266442,49,51,22,22,1,48025
26.715522985,35,65,27,27,1,48266
28.781023501,30,70,32,26,3,48265
21.971500583,65,35,22,22,1,48269
34.334151739,48,52,34,34,1,48272
48.690114482,45,55,74,30,201,26425
39.140401569,71,29,39,39,1,48604
